TIC,latitude,longitude
283722336,57.16835459,348.3207282
261136679,-80.4691198,84.291188
332064670,28.33082136,133.1492139
459978312,64.60074015,255.5656162
297967252,-51.51716171,142.5212913
458856474,-59.7376206,161.1405803
188768068,52.79068581,261.3502329
178155732,-30.81451641,42.98436009
130181866,27.36318294,117.4794185
198384408,56.65916066,257.7851918
354006740,37.33905077,88.36929999
407966340,9.208481312,60.74794543
21832928,32.10548401,256.9826233
412961700,-20.9503954,127.2226213
224600500,58.46258548,254.9586613
317548889,-16.26500977,88.37865657
374908020,-65.958839,88.73909
233059608,64.1425771,269.8072281
82308728,25.71038664,168.6381722
279741379,-63.49910051,51.74676197
20182165,38.60522825,226.1813346
200723869,-50.83238338,47.5165933
364107753,-71.83981631,251.3619636
394137592,-66.3589067,4.446467787
176860064,45.71989671,354.8366797
259863352,-71.46250786,40.36366105
427320001,70.29728399,343.8538455
141663464,-43.38701853,228.6291491
207084429,-51.21543235,22.756594
128790976,-43.98201554,300.2125855
130415266,-47.02334726,104.7499202
269450900,-36.00025965,292.1952865
55092869,-9.399026265,161.7072504
396356111,58.48948146,2.60037904
85031598,62.24575429,65.34580009
441462736,-21.80142134,353.033635
22221375,-24.09938772,149.1243507
19451711,-7.571279548,124.6028267
290348383,-77.33799894,328.7137539
403224672,-59.86446552,338.9846462
138017750,33.07838363,50.80058856
27194429,17.76548402,200.4528409
263003176,-83.74389828,12.54126979
286923464,53.72852732,203.510581
167303382,-68.70986352,97.98639225
177258735,-73.29989262,102.223919
69679391,31.21922658,294.661397
270238522,64.30472169,351.6484601
16740101,39.93882365,307.8598058
264678534,84.3334897,325.1865933
97700520,-31.93355362,107.2860831
255930614,38.34730858,247.6234104
4897275,35.11165494,148.1605375
21535395,40.98360779,164.7760668
347332255,20.02778798,189.8395999
359271092,-60.281953,140.4066725
96246348,-34.22286178,103.5616705
143350972,-17.42924055,82.24636675
69747919,-18.01117202,336.5757901
100990000,-42.7625513,54.81984093
293617835,55.85994442,135.2975365
202426247,64.04720596,226.4579343
375506058,55.58791928,316.2036028
294090620,-22.19432631,130.3960361
414870287,59.43380009,336.8726981
160039081,53.51504193,241.5806972
117979850,-17.2483268,71.81031266
410214986,-69.1957526,354.914504
290131778,-26.61612645,319.6994758
129979528,37.55048271,36.71274281
447283466,-51.70526326,157.0981244
117789567,26.89201857,300.7739985
349827430,71.65587687,161.9097959
453211454,9.386053698,117.9249856
198187049,61.69463168,245.7279239
389070884,-38.64563887,262.3352734
391949880,-80.96457906,79.52228552
23434737,-34.4067443,168.2252071
9858404,-8.57352302,48.49951973
467666275,-60.56786265,169.1186712
167415965,-70.93261329,99.46071647
34068865,-45.77650711,146.1243194
237184773,37.3806364,283.4897823
199376584,33.7444513,306.7413249
80166433,-46.37002111,298.2876377
371443216,-66.11385905,147.5800024
138588540,65.54098494,176.3805765
234519192,-64.76160809,14.55169121
198457103,57.5104977,261.9211354
320004517,-54.53237258,293.2858101
385624852,-55.1979711,138.4023586
298073824,75.98272006,201.3369497
286132427,-4.298066162,146.7247272
409934330,-71.55249704,302.1476691
427508467,6.785064177,117.0952978
30828562,-43.45288213,134.7185158
70513361,-31.06987,32.53348041
468997317,-51.74466903,144.023866
367366318,33.31816756,78.29553648
219778329,64.38045209,263.8519514
100921768,-44.4720373,54.3087327
437984134,15.95213212,94.54530302
31374837,-26.72451897,83.26916921
295354126,-61.56864296,223.1520072
207141131,-56.19208722,44.26229823
326919774,46.39984536,22.97300855
54085154,-31.92716596,160.1801514
357416482,27.36176853,228.9500728
374095457,-48.996732,159.9331042
131979339,-37.85770137,118.913644
219751469,61.42342485,261.1999283
259701242,-53.81788746,74.46626891
325172035,-63.94907597,177.4949207
114018671,-32.841418,113.9840175
459942762,4.54113957,60.2782643
148228019,-36.65730296,101.1887639
257241363,30.3224034,112.0181354
271900960,-75.52743037,112.9419335
256886630,41.4495095,329.3850204
39903405,41.04808585,245.1514913
49899799,-2.175284882,48.85426472
219857012,71.87640001,257.3285328
37575651,-28.3245796,135.3404876
54464870,63.54504337,19.59544554
269701147,66.85057654,302.0239791
352413427,37.18548299,15.59819748
328350926,0.861330222,46.9317077
120896927,-27.63520603,36.86824222
183979262,-72.7489643,21.64918254
408618999,69.10140701,43.43502024
365673804,64.22893912,313.3387408
372913430,-60.78055245,119.5335512
312678993,54.52803084,13.59738218
288391628,83.42867546,266.9621835
8967242,34.3031907,167.2329623
27491137,39.79042916,217.3926784
115771549,33.88948623,339.8159627
312083267,36.72548756,303.2952193
310483807,-61.48829109,128.6143158
158075010,43.75634231,218.184663
293954617,53.37681548,300.6142639
287776397,-74.95481213,127.1283267
283474780,36.39293544,13.0174011
148782377,42.37827467,219.0373962
138819293,26.70657169,175.5462224
367607434,46.5759884,348.8750086
21755546,30.29733617,292.2867916
154840461,85.70508624,182.6923779
26433869,30.14951252,56.81432491
430677414,53.23961363,333.6697758
327663613,-69.54200318,189.8102693
387834907,70.08030723,315.6690663
107782586,-24.46213215,111.6678601
259511357,-50.21969291,70.77517926
366989877,-54.31743291,302.1141621
329864959,53.984528,333.244967
139853601,-21.8329309,112.2940078
39699648,46.67260091,136.778074
238086647,-49.50717944,104.9582957
201793781,-54.85978072,34.68358313
127315102,-43.3618994,217.2798218
232540264,71.84095086,227.8704755
120602501,40.00396614,337.6864502
309402106,-65.27814411,124.7488374
37749396,-9.964852623,4.773177811
350995812,36.52987179,291.9213834
16884216,33.90203256,232.863124
28230919,48.08086038,297.7093644
298372701,-49.36649971,239.8257038
164173105,35.03500005,335.825247
167009792,-66.40069704,95.10168311
141663460,-43.38499756,228.632009
33153766,-45.42620912,144.7737501
406672232,22.65461489,309.353389
461867584,-58.76047042,149.6885987
154618248,-33.5003909,345.7789014
83092282,-46.4842202,125.3050834
306263608,21.28086376,30.90427225
233009109,72.92576589,248.2528802
350618622,-54.91070911,87.40172456
339636032,-55.37970804,110.1945777
101011575,-13.25669193,129.6885851
352764091,63.47531793,308.7472955
293708935,-60.07988395,222.3349014
308034948,-60.20043283,180.3257604
368435330,25.64116495,162.7771403
66445643,48.16158474,341.3863133
160268701,77.35224567,182.5393661
373424049,-53.11968071,140.0567751
67418624,37.00512442,28.6604017
17416749,35.69125071,242.2010422
275501623,61.12023326,320.1160676
284450803,56.61544731,290.7089125
440887364,-24.45408199,225.0808271
260647166,-51.36283725,186.5745484
372264750,66.77526408,331.307473
298647682,53.21763375,272.2646059
275111900,39.07223244,323.2068889
29191596,45.88353955,151.7207939
154867950,84.679146,188.3604929
335630746,-15.27359256,199.3341208
198356533,56.84263594,256.138667
293853437,0.883363309,95.82788015
431148743,53.66250803,334.9813587
144441148,33.49243318,207.9061694
459903429,86.22838762,130.9680591
90544017,-49.94037731,128.4547418
360630575,-74.57399088,189.7766743
440100539,42.2823233,4.358047983
47384844,-5.788657482,162.9649781
260043723,-58.95365548,91.60855043
29191624,46.11497654,151.8070364
413248763,-21.66079952,144.0068219
160074939,-36.9455321,346.3190895
427761355,67.03482718,352.2676029
425997655,-62.76707766,55.45999645
335483600,63.55056173,332.6136408
460984940,-63.65502534,159.3411859
232025086,-46.93759446,96.0694191
383390264,-88.12103283,192.591751
33692729,-14.65001724,93.05819734
386435344,-16.88491903,127.9952517
71512186,-8.468099874,90.16992424
431514478,49.79053481,357.001182
461271719,-38.84592814,203.1666164
91576611,-29.39829332,284.1578704
97158538,-30.72645541,105.945537
365683032,51.91068145,312.1799089
7624182,-38.84416883,64.31142478
250484865,-2.928875488,94.2055542
384549882,-54.9039529,136.5277835
377191482,59.1640547,285.9370886
233721037,64.63673469,276.3941461
287080092,63.53427372,243.4887727
307610438,-38.87532097,229.0335136
131419878,-37.79905482,118.0372622
390651552,9.751397755,191.9859372
364186197,72.58052171,313.5108771
82128636,-46.42988247,124.1104489
100100827,-45.67788237,24.35430629
14336130,56.82443485,105.0829291
106402532,-40.88834232,159.4091615
98796344,-16.59333952,45.46413672
159510109,80.3074791,247.5351912
202563254,31.92565802,304.0342446
329888006,-50.06995156,212.8467529
408310006,-20.9824661,144.8753587
14091633,-36.46455952,77.26019444
4646810,-10.3517813,38.27201076
156987351,-47.61386025,99.58141807
65212867,-4.463373935,112.7523912
112395568,-33.35138117,290.9772137
320525204,56.07891625,264.961577
1400770435,56.07891625,264.961577
200807066,-51.78901166,53.17826265
110428269,25.18945654,291.463077
445805961,76.21078059,94.28275636
78154865,-4.123383762,147.86737
166836920,-50.00802177,39.8976814
460140752,-60.66526209,156.7384447
142276270,64.8553193,192.1848886
440801822,13.39521363,109.3829181
29781292,-68.10264277,65.2380522
133334108,-38.74156235,120.787363
277566483,54.50218424,311.1946057
50120414,62.43331131,39.89113252
190990336,-39.77842377,134.3730929
249067445,-0.370101496,79.43245467
216935214,-45.88352902,259.4957584
118084044,-58.57552457,128.181374
343442463,55.16294319,341.5186122
117979455,-17.25307384,71.803157
357501308,29.20617426,229.8381382
444415148,62.54312975,6.308946951
466113537,-59.97841506,165.0334904
142387023,61.74477872,197.7311872
119292328,-38.60674013,96.64668572
368320811,24.08495036,233.0150056
341815767,54.63617826,267.5200379
335499997,-12.37749047,179.1638533
309254930,-65.65716631,124.3001664
308994098,-64.09110689,123.3980227
317597583,75.55275492,352.0167664
255760319,-53.10752366,99.71458046
417931607,61.25904463,186.5243332
311121985,49.51375563,85.58110664
387079085,-64.63419473,217.0233744
89389197,30.40989991,301.177679
252479260,50.12835096,155.6816352
381976956,-57.5866695,77.54681463
142090065,79.73767064,79.07365908
72090501,-11.1472652,92.10563176
320417762,10.24930851,118.0042507
229455001,60.88138251,294.2910844
317060587,-75.64655219,337.5113737
363260203,-63.306525,147.3853609
349829627,-61.2399105,113.6955656
129637892,-37.85015398,321.1149405
154872375,85.12947331,193.3955142
184952758,-36.34671268,128.1438685
395171208,48.40681262,325.0145999
180695581,38.92248501,201.2833161
63898957,-24.42394521,15.21762883
242120884,-43.32732199,209.9827569
130924120,-35.55491379,187.9945891
300810086,-69.03070019,116.8141222
179034327,-26.76590579,64.18412276
233684293,63.1107696,260.7630815
439610306,-55.1757794,143.4670418
406976746,-83.05617264,230.5586673
158025009,41.95342212,216.9240238
118301361,29.57049657,34.19582277
387664866,50.48150008,323.5486252
102283403,10.55175167,89.15462674
125735470,27.47161193,56.66028724
300038935,-68.83349114,107.8436955
71431780,68.47663145,116.7971387
176831592,-32.80244288,48.95692882
249862365,52.70428905,38.12272439
183985250,-37.6279232,358.6675306
116483514,47.05683584,232.9450688
150030205,-60.66631985,90.98360774
311183180,5.874578522,55.03150087
260304296,-57.01352876,94.61560979
74482749,-43.92498021,137.5184283
73723286,-40.51616329,155.6369038
229384040,8.413917126,98.59779927
69997672,31.95815979,294.8241047
53709089,61.09210831,17.73673708
192372961,43.18385293,45.59830853
344926234,3.946570914,151.5574605
169904935,-11.10150806,120.7049294
314338017,58.77282964,319.1449944
238597883,-48.80285124,122.1782239
288132261,79.58318954,209.4850503
151681127,-40.20695806,166.889032
136971594,43.59286004,317.9666862
188989177,-15.10045575,78.7784062
237222864,74.06273705,296.2443284
183532609,-35.03136763,359.9002966
137284119,46.2680739,318.2350927
167754523,-60.68698827,104.1816466
14091704,-36.59096644,77.32346007
325680697,-12.03894344,36.85337308
356235833,20.28260932,260.0966112
42755801,-4.780081928,96.79395621
175482273,-38.16077907,351.2291597
116608612,35.1857962,85.66322321
353782445,55.75563546,276.9379756
266980320,-56.90389885,349.5567912
354469661,52.05389438,28.2823863
172518755,26.54016539,142.7434445
318828309,-60.07601466,173.3142175
186812530,12.60136452,124.3204058
316916655,-13.70369976,74.4728292
26880783,53.46455811,293.4435926
281781375,-59.34300514,12.97525988
267263253,-76.30406202,7.328969645
41173048,-69.36041719,91.22454889
429304876,-22.07255058,167.8858548
457138169,50.90883807,141.3681444
267489265,54.7815345,298.7813369
234994474,-60.06517904,350.0313524
156115721,-27.27349179,124.3593798
364393429,-64.05674631,116.5962444
129539786,39.64523874,343.9539247
180652891,35.95398859,199.6073082
155114483,44.56488734,345.7483838
184679932,40.40200504,32.29399702
34077285,-13.98743702,94.16446909
350132371,68.99818864,329.0908843
404505029,9.030676082,201.9627597
261258875,-79.74347508,89.73081901
94986319,-14.27695759,81.85344091
331034236,58.55168181,326.0917938
280206394,-50.46327597,144.1195272
229938290,64.15334199,287.6809809
278683844,-58.01526792,99.23800267
418987806,63.31941317,6.519550092
198213332,61.71830699,248.4335909
277103955,-66.79142601,84.25453812
207468071,54.68976217,245.908209
124709665,-10.58044517,104.7269721
106997505,-25.20702356,110.5599491
237108272,78.58699234,257.13923
382437043,-63.72024296,117.2150694
459970307,64.69910934,254.9241051
167098530,40.01668481,318.6268147
224225541,-37.25587111,353.0618241
274170255,46.84513927,316.4462201
16102323,37.50858038,307.3366006
143526444,-19.25463447,125.6450635
399870368,9.998000941,74.55234477
272635712,67.46495283,231.1618607
85293053,34.39103192,156.8379097
193413306,-56.02586563,222.1011706
156724719,39.9669663,72.03181425
77253676,-36.6814336,69.7040696
102840239,-43.83495534,155.8718844
322063810,-51.58464354,14.31779137
62483237,-34.90958285,336.4022757
260708537,-58.52845816,98.45821571
334305570,-49.00763927,183.1187891
123846039,-6.507507557,103.3692784
131743355,-39.99301694,118.4764425
148479278,-37.96023412,102.6580425
31553893,-31.79074316,288.9117556
412014494,-60.94100586,291.3736453
339672028,-57.38488873,110.512481
388076005,68.05234528,318.0491788
367102581,78.67481944,314.2686992
287474726,-28.35926605,127.1280965
134200185,-47.58718591,106.5582312
323132914,-78.407458,127.9943948
307210830,-68.31299987,124.5317563
426077080,-76.49345055,238.0011097
272828463,60.48703642,356.5887565
88863718,-5.513784717,122.5804866
79292541,-20.05251902,104.0558199
334125713,-52.67214228,182.772211
67666096,40.38804972,148.6432795
8400842,57.81719224,65.46960174
153077621,-42.64235631,49.66023409
431156009,51.96521659,340.3954515
468880077,9.990376907,56.50424898
281575427,-56.96510093,7.975216066
441642457,58.93301276,209.8830144
164767175,-18.40090771,26.20964833
53617134,65.2496593,17.67984158
73228647,-44.3120188,190.036586
7413227,-27.99306094,212.6477947
256783784,36.32159259,329.4015648
280830734,-70.76095147,44.55515064
441739020,72.16115837,259.0173378
280095254,-73.3965754,46.19618478
73104318,58.4655167,61.72147691
271168962,-30.58356602,210.1935199
123482865,-42.15465018,115.1027427
375542276,19.63930549,294.0917659
299799658,-78.02381512,38.11873002
350584963,-56.00413129,87.1158476
287225295,51.60757704,144.0004616
302659412,-67.95553182,134.9666132
233951353,58.14118682,305.4131065
285674856,51.88456574,53.19629042
300293197,-68.5784062,110.279639
147660886,-43.37673199,164.0318036
262530407,-46.71437969,20.43912639
146434840,-22.38224367,75.36074686
144065872,-48.00306924,337.4572324
65412605,-24.95356165,108.1231252
417676622,49.04025783,291.0323584
369864738,-87.26969945,163.6293884
86280613,61.69908204,141.7212011
51912829,-67.49626028,14.29838438
242536549,-41.98330169,215.1456093
357457104,45.77574083,315.540896
150271680,-63.86451757,94.75439348
149833117,67.67729428,104.6285326
37084932,-3.54482967,98.1237721
438295981,13.29944216,96.6660549
268334473,86.85964563,272.4061335
304100538,-75.84875751,27.6997876
85242435,61.15417828,114.3452895
377064495,6.216367869,148.1856212
178819686,-39.75769615,194.4685287
407394748,77.88002754,5.420288407
180987952,-41.44282642,130.2615216
310009611,-50.30737236,152.1182032
428679607,83.58757555,45.95293802
319259194,-78.56162582,71.65042634
378291076,61.36032194,358.2135252
48476907,-34.68195017,150.1529206
233390838,59.49086382,301.5592895
304042899,-59.23405461,164.8001839
105840719,17.02401787,243.9410511
452808876,1.893917715,72.66066118
403256331,58.67926522,4.249330146
101721385,38.24219713,260.1161596
38603673,-61.39210265,64.41495086
233964642,-63.64754722,36.49875014
81419525,-46.1091825,123.108311
42123111,38.24522889,302.220067
313506357,45.93368961,347.7572623
27677846,46.36586092,66.37050774
288631580,82.30574332,277.9249776
464296022,-57.59034511,155.8316879
90448944,-52.71426554,128.302386
277683130,-61.67326953,328.9262338
89510024,30.67069631,301.3177251
121338379,-3.860222723,129.0908878
376353509,69.22990013,45.40098119
383531859,-60.38359169,216.1477295
48188920,48.09894548,282.4207835
379931600,29.59629733,293.4273331
189013224,-15.51013164,79.10216878
30037565,-70.3793108,73.54136046
455962313,65.439728,340.036593
332154944,57.5143415,19.27813051
50365310,-12.69595954,112.3577341
147576037,68.45865747,144.341553
159781361,48.9554061,234.4316841
176778112,-35.62806158,47.82798488
379929661,3.710561941,130.5056508
241196395,29.08556932,153.5498559
422923265,42.87127624,40.24557529
341186896,-58.22211321,118.8642262
407126408,-80.80378553,234.5734039
249812036,49.42657825,339.7855066
349088467,-14.06222443,185.33198
276360911,55.7409626,329.0533551
287156968,-83.82473121,118.1287805
1129033,-7.060660747,37.15511493
101037590,33.07985947,54.48109736
169226822,-3.835072173,160.5586816
54044474,-32.51194323,159.887881
198588220,44.77696323,256.6106707
166739520,-50.28453119,36.77540719
92352620,-34.13555769,313.7831021
64071894,-22.24511386,39.13578427
219401954,-53.74357672,78.16506082
50618703,-0.342561857,82.28992398
248092710,-44.09935676,193.2606883
13419950,41.46235738,305.2893133
425206121,7.615781777,111.5095417
92359850,-19.97976855,52.22559188
281408474,1.767554312,99.26306694
187029841,38.4788914,34.55592213
232971294,71.72110579,199.4428258
219164808,-52.08436016,90.7741325
101230735,-48.93441284,299.2909799
421894914,-76.91751817,339.2585181
238061845,-50.15793052,104.1213139
350743714,-57.29057396,88.88620324
290348382,-77.3367543,328.7059705
230386259,63.94890425,285.7285595
170634116,-30.60044749,66.37090346
382626661,-65.44155025,118.5696252
316402246,54.51974507,321.9733887
446549905,-58.69721266,286.791797
422838133,72.93683841,23.82956047
76989773,-35.46370622,353.294565
93125144,-19.55809732,84.84646436
317507345,77.6271016,351.1744651
214361331,-50.3859528,261.0629117
150098860,-61.99691543,91.79986213
269238073,62.16114393,350.2324762
313761775,56.94381476,318.3478198
54390047,-14.21881542,118.3195627
202375913,51.46830111,5.965463947
238374636,-51.34572354,120.8378494
394029948,78.56885796,282.2290403
286916251,49.06113621,203.3977028
11111899,36.65180277,303.8248002
117256577,26.97167175,300.419315
316468545,65.43752707,323.9080797
146467675,-20.73126578,76.08191052
339538183,63.68500525,93.31895205
149603524,-63.98844079,87.13997409
161450762,32.47101929,309.2758521
15692883,25.6816955,17.47485549
285543785,60.891685,13.222022
360286627,-61.33005377,141.9753186
409183335,38.59752607,81.80783445
425721385,-43.07398383,289.7616986
304021498,-67.0260188,140.8841536
339961200,-58.539883,112.5556502
253990973,-41.24217401,284.6887645
306996324,-37.55273227,178.5766333
92013169,14.78562549,89.16521634
262746281,5.766244003,141.1079428
9033144,-19.82391579,349.6061821
319068154,55.5241238,350.1088666
233182695,68.94061755,219.0434894
267414551,-59.91199972,176.0703399
284050395,65.02617829,8.988700945
201154493,41.06437169,56.14331971
241225337,53.13617141,93.55853277
266593143,30.48873488,324.5363798
437242640,-23.86066241,165.3995745
346338552,38.67509872,344.4451846
138361973,37.53893075,293.7649964
219344917,-50.62689126,74.73816501
146589986,-42.54166647,159.2215943
354594208,32.43777094,1.887827481
186000935,44.49620313,303.0732143
186599508,39.06857162,45.08795382
458478250,66.35876227,232.1466359
153949511,66.79658998,172.7483541
128501004,37.84079398,339.0337782
142381532,63.75379097,196.2203561
341729521,-59.57978688,121.3199015
395142888,59.56082161,335.3008552
354400186,48.35234601,27.737993
25375553,-22.61258127,328.7676784
44792534,-25.2086753,61.94108623
234345288,-71.62416157,38.88659659
230075227,68.89451394,244.3769943
380783252,-60.92183441,269.7144654
327011842,45.01032386,23.4667796
140068425,-49.06001097,330.3015634
237185205,37.72002396,283.5266903
349373192,-60.15552887,110.261058
392476080,16.57995517,253.186335
366074069,69.04957072,356.7706571
47911178,-23.4861936,98.35111367
50309953,-77.61023261,30.19732217
237808867,5.748036131,104.4799028
142918609,-19.51603139,119.3499657
58542531,27.82254642,65.97972838
405794804,65.03915669,324.7143091
146208651,-48.81259307,133.4576892
44797824,-26.02197664,62.45451203
287196418,59.40385109,292.7341238
233617847,64.5313395,283.794511
149302744,-62.10912294,83.38231672
64836837,55.03104903,338.7965768
159418353,83.25819467,240.1773557
50312495,-73.12716655,31.17769689
308919449,-65.85234501,122.6182203
299023386,-53.56164964,143.4664509
400595342,-49.00059556,134.4417833
375059587,-63.33924587,100.1041403
22843856,25.58853387,39.00649912
293687315,59.4442469,216.5239895
9828416,33.20508566,261.0964351
190430205,46.220223,324.9225303
127425841,40.16561845,6.030682532
49687222,-11.72537486,351.7055039
134404603,-39.16491887,122.3402676
103448870,73.0238567,66.8346835
353367071,33.50699714,89.93486334
74534430,-45.09751565,137.6713439
199688472,57.97400474,253.1403043
55525572,-60.90544883,72.69404327
165987272,30.64007771,195.9818618
123898871,-19.04086673,90.91603057
462162948,-59.85004255,150.4337122
31852980,-70.39958377,52.54054618
119584412,23.02685511,175.5765586
393911494,44.91202689,207.1786264
156199502,83.43765328,181.0738794
235037761,-64.56178342,353.82678
231670397,-58.14888695,319.9496108
102672709,66.11962216,61.73104316
354600221,57.88176878,6.074650354
458857720,-59.92519026,161.0468668
285542903,60.61811639,13.27002458
356590734,-78.80163654,172.157304
61098812,-0.128064925,205.4542925
185405474,45.49919605,301.7176342
449050248,5.298469822,67.55231063
112026224,24.20143979,292.2233271
278348461,18.10483332,303.1953613
194203348,41.59400592,1.196959298
160708862,-42.70494142,227.2703877
138168780,73.82766444,94.79321242
15247229,38.93226035,306.7308196
142378043,-31.64567636,181.6324635
